150
1041.88	96.01	36	1
1042.88	95.71	36	1
1043.88	95.69	36	1
1044.88	95.66	36	1
1045.88	95.72	36	1
1046.88	95.78	36	1
1047.88	95.78	36	1
1048.88	95.82	36	1
1049.88	95.88	36	1
1050.88	95.91	36	1
1051.88	95.91	36	1
1052.88	96.0	36	1
1053.88	96.1	36	1
1054.88	96.18	36	1
1055.88	96.18	36	1
1056.3	96.21	36	1
1064.8	96.66	36	1
1076.31	96.72	36	1
1079.53	96.17	36	1
1081.26	97.47	36	1
1146.04	97.13	36	1
1205.24	97.41	36	1
1216.35	96.74	36	1
1238.03	96.99	36	1
1240.93	97.53	36	1
1253.67	97.34	36	1
1256.8	96.8	36	1
1265.72	97.84	36	1
1277.5	97.81	36	1
1292.54	97.4	36	1
1323.65	97.2	36	1
1371.83	97.16	36	0
1389.8	97.0	36	0
1408.44	96.88	36	0
1421.54	96.73	36	0
1422.6	96.39	36	0
1426.67	96.45	36	0
1437.81	94.89	36	0
1439.87	96.03	36	0
1445.36	96.16	36	0
1448.59	97.21	36	0
1471.04	97.31	36	0
1480.87	97.41	36	0
1507.72	97.25	36	0
1527.08	97.11	36	0
1533.2	96.5	36	0
1553.3	96.38	36	0
1556.76	95.55	36	0
1559.13	95.5	36	0
1560.95	96.15	36	0
1574.85	96.03	36	0
1575.34	95.35	36	0
1578.56	95.28	36	0
1579.55	96.03	36	0
1601.74	96.93	36	0
1602.25	96.91	36	0
1627.14	96.85	36	0
1652.77	97.17	36	0
1664.99	97.32	36	0
1679.55	97.25	36	0
1699.97	97.35	36	0
1723.1	96.76	36	0
1746.66	97.11	36	0
1776.83	97.31	36	0
1804.52	97.21	36	0
1830.78	97.11	36	0
1849.74	96.71	36	0
1854.07	97.2	36	0
1882.3	97.14	36	0
1910.38	96.23	36	0
1912.86	97.23	36	0
1916.08	96.94	36	0
1930.27	97.04	36	0
1953.04	97.14	36	0
1976.08	97.18	36	0
2006.21	97.56	36	0
2013.78	97.73	36	0
2024.6	97.68	36	0
2074.13	97.51	36	0
2100.01	97.74	36	0
2147.73	98.06	36	0
2196.71	98.38	36	0
2240.03	98.33	36	0
2287.79	98.84	36	0
2322.29	98.55	36	0
2364.16	98.36	36	0
2392.04	98.5	36	0
2431.52	98.25	36	0
2435.92	98.29	36	0
2463.39	98.28	36	0
2479.07	98.03	36	0
2513.14	98.23	36	0
2516.37	99.19	36	0
2565.45	98.56	36	0
2599.73	98.87	36	0
2633.96	99.02	36	0
2666.83	99.01	36	0
2696.18	98.74	36	0
2699.03	98.65	36	0
2724.4	98.74	36	0
2738.82	102.97	36	0
2741.29	104.47	36	0
2749.34	108.48	36	0
2760.38	115.83	36	0
2761.68	115.94	36	0
2762.36	115.94	36	0
2768.58	126.1	36	0
